,Week #,Arrest
0,1,1571
1,2,1684
2,3,1511
3,4,1858
4,5,1767
5,6,1667
6,7,1592
7,8,1727
8,9,1757
9,10,1872
10,11,1755
11,12,1803
12,13,1746
13,14,1764
14,15,1668
15,16,1894
16,17,1804
17,18,2005
18,19,1792
19,20,1937
20,21,1861
21,22,1837
22,23,1819
23,24,1848
24,25,2020
25,26,2042
26,27,1757
27,28,1897
28,29,1946
29,30,1985
30,31,1940
31,32,1952
32,33,1823
33,34,1858
34,35,1853
35,36,1889
36,37,1831
37,38,1811
38,39,1704
39,40,1629
40,41,1459
41,42,1648
42,43,1493
43,44,1238
44,45,1528
45,46,1466
46,47,1326
47,48,1114
48,49,1105
49,50,1212
50,51,994
51,52,712
