,Week #,Crime
0,1,4356
1,2,4066
2,3,4107
3,4,4153
4,5,4219
5,6,3955
6,7,4050
7,8,4020
8,9,4349
9,10,4019
10,11,4118
11,12,4347
12,13,4271
13,14,4331
14,15,4274
15,16,3971
16,17,4118
17,18,4429
18,19,4129
19,20,4125
20,21,4209
21,22,4350
22,23,4162
23,24,4357
24,25,4271
25,26,4120
26,27,4466
27,28,4126
28,29,4434
29,30,4253
30,31,4422
31,32,4134
32,33,4217
33,34,4260
34,35,4412
35,36,4149
36,37,4270
37,38,4151
38,39,4043
39,40,4282
40,41,4112
41,42,4060
42,43,4027
43,44,4175
44,45,4121
45,46,3988
46,47,4016
47,48,3794
48,49,3917
49,50,4379
50,51,4348
51,52,3605
